분류체계,,기본 식별,,,,R&R,,증빙 자료 key
대분류,중분류,issue_id,issue_name,issue_group,checklist_question,부서,담당자,evidence_link_key
환경,기후 거버넌스,E1-01,기후변화 및 온실가스,Climate,기후 관련 최고 의사결정 조직·책임자가 지정되어 있는가?,,,CLIMATE_GOV
,GHG Protocol·배출량 인벤토리,E1-02,,,온실가스 인벤토리 산정 체계가 수립되어 있는가?,,,GHG_METHOD
,,E1-03,,,Scope 1 배출량을 산정하고 있는가?,,,GHG_SCOPE1
,,E1-04,,,Scope 2 배출량을 산정하고 있는가?,,,GHG_SCOPE2_LB
,,E1-05,,,시장기반 Scope 2 배출량까지 구분 공시 가능한가?,,,GHG_SCOPE2_MB
,,E1-06,,,주요 Scope 3 카테고리를 산정하고 있는가?,,,GHG_SCOPE3
,,E1-07,,,Scope 3를 카테고리별로 분류해 관리하는가?,,,GHG_SCOPE3_CAT
,,E1-08,,,감축 목표와 기준연도가 설정되어 있는가?,,,GHG_TARGET
,기후전략·리스크·전환,E1-09,,,감축 목표 이행성과를 추적하고 있는가?,,,GHG_TARGET_PROGRESS
,,E1-10,,,기후 리스크/기회를 식별·평가하는가?,,,CLIMATE_RISK_SYSTEM
,,E1-11,,,기후 전환계획(Transition plan)을 보유하는가?,,,TRANSITION_PLAN
,,E1-12,,,기후 시나리오 분석을 수행하는가?,,,CLIMATE_SCENARIO
,,E1-13,,,내부 탄소가격 또는 이에 준하는 내부가격 체계를 활용하는가?,,,CARBON_PRICE
,,E1-14,,,기후 관련 투자(CAPEX/OPEX)를 별도로 추적하는가?,,,CLIMATE_CAPEX
,GHG Protocol·배출량 인벤토리,E1-15,,,Scope 1+2 총배출량은 얼마인가?,,,EVID_E1_15
,,E1-16,,,생산대수 기준 Scope1+2 집약도는 얼마인가?,,,EVID_E1_16
,,E1-17,,,당해연도 배출 목표치는 얼마인가?,,,EVID_E1_17
,에너지 관리·효율,E2-01,에너지 관리,Energy,총 에너지 사용량을 측정하는가?,,,ENERGY_TOTAL
,,E2-02,,,에너지원별 사용량을 구분해 관리하는가?,,,ENERGY_MIX
,,E2-03,,,재생에너지 사용량 또는 조달비중을 관리하는가?,,,RE_SHARE
,,E2-04,,,에너지 효율 개선성과를 추적하는가?,,,ENERGY_EFF
,,E2-05,,,비재생 전기 사용량은 얼마인가?,,,EVID_E2_05
,,E2-06,,,재생 전기 사용량은 얼마인가?,,,EVID_E2_06
,,E2-07,,,LNG 사용량은 얼마인가?,,,EVID_E2_07
,,E2-08,,,디젤/등유/휘발유 사용량은 얼마인가?,,,EVID_E2_08
,,E2-09,,,스팀/열 사용량은 얼마인가?,,,EVID_E2_09
,,E2-10,,,기타 연료 사용량은 얼마인가?,,,EVID_E2_10
,,E2-11,,,생산대수 기준 에너지 사용 집약도는 얼마인가?,,,EVID_E2_11
,수자원·수질 리스크,E3-01,수자원 관리,Water,취수량을 측정하는가?,,,WATER_WITHDRAWAL
,,E3-02,,,방류량을 측정하는가?,,,WATER_DISCHARGE
,,E3-03,,,용수 소비량(consumption)을 계산하는가?,,,WATER_CONSUMPTION
,,E3-04,,,재이용수 사용량 또는 재이용률을 관리하는가?,,,WATER_RECYCLE
,,E3-05,,,수자원 스트레스 지역/공정수 리스크를 평가하는가?,,,WATER_RISK
,수자원 관리,E3-06,,,공급원별 취수량(도시용수/표층수/지하수/해수담수)은 얼마인가?,,,EVID_E3_06
,,E3-07,,,사업장 유형/공급원별 취수량은 얼마인가?,,,EVID_E3_07
,,E3-08,,,용수 사용량은 얼마인가?,,,EVID_E3_08
,,E3-09,,,용수 재활용량은 얼마인가?,,,EVID_E3_09
,,E3-10,,,용수 재활용 비율은 얼마인가?,,,EVID_E3_10
,,E3-11,,,생산대수 기준 용수 사용 집약도는 얼마인가?,,,EVID_E3_11
,오염·유해물질,E4-01,오염 및 유해물질,Pollution,대기오염물질 배출을 측정하고 있는가?,,,AIR_EMISSIONS
,,E4-02,,,유해/우려 화학물질 목록과 관리기준을 운영하는가?,,,HAZMAT_SYSTEM
,,E4-03,,,환경 유출/누출/비정상 배출 사고를 추적하는가?,,,ENV_INCIDENT
,,E4-04,,,환경 법규 위반(벌금/과태료)을 관리하는가?,,,ENV_COMPLIANCE
,오염 및 유해물질,E4-05,,,SOx 배출량은 얼마인가?,,,EVID_E4_05
,,E4-06,,,NOx 배출량은 얼마인가?,,,EVID_E4_06
,,E4-07,,,먼지 배출량은 얼마인가?,,,EVID_E4_07
,,E4-08,,,대기오염물질 집약도는 얼마인가?,,,EVID_E4_08
,,E4-09,,,TOC(COD) 배출량은 얼마인가?,,,EVID_E4_09
,,E4-10,,,BOD 배출량은 얼마인가?,,,EVID_E4_10
,,E4-11,,,SS 배출량은 얼마인가?,,,EVID_E4_11
,,E4-12,,,수질오염물질 집약도는 얼마인가?,,,EVID_E4_12
,,E4-13,,,VOCs 및 THC 배출량은 얼마인가?,,,EVID_E4_13
,,E4-14,,,유해화학물질 사용량은 얼마인가?,,,EVID_E4_14
,폐기물·자원순환,E5-01,폐기물 및 자원순환,Circularity,총 폐기물 발생량을 측정하는가?,,,WASTE_TOTAL
,,E5-02,,,유해/지정 폐기물을 구분 관리하는가?,,,WASTE_HAZ
,,E5-03,,,재활용/재사용/회수 비율을 관리하는가?,,,WASTE_RECYCLE
,,E5-04,,,처분(매립/소각) 폐기물 비중을 추적하는가?,,,WASTE_DISPOSAL
,,E5-05,,,주요 원재료 사용량을 관리하는가?,,,RAW_MATERIAL
,,E5-06,,,재생원료/재활용 투입재 비율을 관리하는가?,,,RECYCLED_INPUT
,자원사용 및 순환경제,E5-07,,,철 사용량은 얼마인가?,,,EVID_E5_07
,,E5-08,,,철 스크랩 사용량은 얼마인가?,,,EVID_E5_08
,,E5-09,,,알루미늄 사용량은 얼마인가?,,,EVID_E5_09
,,E5-10,,,알루미늄 스크랩 사용량은 얼마인가?,,,EVID_E5_10
,,E5-11,,,철/알루미늄 사용 집약도는 얼마인가?,,,EVID_E5_11
,,E5-12,,,일반/지정/건설 폐기물 발생량은 얼마인가?,,,EVID_E5_12
,,E5-13,,,폐기물 유형별 처리방식(소각/매립/재활용 등)별 처리량은 얼마인가?,,,EVID_E5_13
,생물다양성·토지,E6-01,생물다양성 및 토지영향,Biodiversity,보호지역/민감지역 인접 사업장 여부를 파악하는가?,,,BIOD_SITE
,,E6-02,,,생물다양성/생태계 영향 평가를 수행하는가?,,,BIOD_ASSESS
,,E6-03,,,복원/보전 조치를 수행하는가?,,,BIOD_RESTORE
,친환경 제품·밸류체인 환경,E7-01,친환경 제품 및 밸류체인 환경,Product_env,친환경 제품/저탄소 제품 기준을 정의하고 있는가?,,,GREEN_PRODUCT_POLICY
,,E7-02,,Supply Chain_env,제품 전과정(LCA) 평가를 수행하는가?,,,PRODUCT_LCA
,,E7-03,,,주요 공급업체 환경 평가를 수행하는가?,,,SUPP_ENV_COV
,제품·순환성·저탄소제품,E7-04,,Sustainable investment,환경투자 비용은 얼마인가?,,,EVID_E7_04
,,E7-05,,,녹색구매 실적은 얼마인가?,,,EVID_E7_05
사회,노동·고용,S1-01,노동·고용 관리,Labor,고용·채용·이직·복리후생 정책이 문서화되어 있는가?,,,LABOR_POLICY
,,S1-02,,,임직원 수를 고용형태·성별 기준으로 집계할 수 있는가?,,,WORKFORCE_PROFILE
,,S1-03,,,신규채용률과 이직률을 산출할 수 있는가?,,,HIRING_TURNOVER
,,S1-04,,,비정규·간접고용 인력 비중과 리스크를 관리하는가?,,,NONREG_RATIO
,,S1-05,,,사회적 대화(근로자대표·노사협의회·단체교섭) 체계가 있는가?,,,SOCIAL_DIALOGUE
